,Brand,Operating System,Ram Type,Ram Size,Disk Size,Disk Type,MRP
120,acer,Windows 10,DDR4,8,512,1,39990
121,Lenovo,Windows 11,DDR4,4,256,1,25949
122,others,Windows 11,DDR5,16,512,1,64999
123,HP,Windows 10,DDR4,8,512,1,60989
124,ASUS,Windows 11,DDR4,8,512,1,36990
125,others,Windows 11,DDR5,8,256,1,59990
126,APPLE,Mac,Unified,16,512,1,222990
127,DELL,Windows 11,DDR4,8,512,1,38989
128,ASUS,Windows 11,DDR4,16,512,1,67989
129,MSI,Windows 11,DDR4,16,512,1,79989
130,ASUS,Windows 11,DDR5,16,512,1,89990
131,ASUS,Windows 11,DDR5,32,1000,1,241990
132,ASUS,Windows 11,DDR4,8,512,1,43489
133,others,Windows 10,DDR4,8,256,1,46989
134,others,Windows 10,DDR4,8,512,1,40990
135,APPLE,Mac,DDR4,8,256,1,94989
136,APPLE,Mac,Unified,8,256,1,121989
137,ASUS,Windows 11,DDR4,8,256,1,27989
138,DELL,Windows 11,DDR4,8,512,1,40189
139,Lenovo,Windows 11,DDR4,8,512,1,34989
140,Lenovo,Windows 11,DDR4,8,512,1,69990
141,ASUS,Windows 11,DDR4,8,512,1,59990
142,ASUS,Windows 11,DDR4,16,512,1,66989
143,ASUS,Windows 11,DDR5,16,512,1,104990
144,DELL,Windows 11,DDR4,8,256,1,54900
145,Lenovo,Windows 11,DDR4,16,1000,1,136989
146,DELL,Windows 11,DDR4,8,512,1,48183
147,ASUS,Windows 11,DDR4,16,512,1,74989
148,acer,Windows 11,DDR4,8,512,1,60989
149,HP,Windows 11,DDR4,8,512,1,49989
150,DELL,Windows 11,DDR4,8,512,1,67989
151,Lenovo,Windows 10,DDR4,8,512,1,58000
152,Infinix,Windows 11,DDR5,8,256,1,29990
153,HP,Windows 11,DDR4,8,512,1,33989
154,ASUS,Windows 11,DDR4,16,512,1,64990
155,Lenovo,Windows 11,DDR4,16,512,1,79989
156,ASUS,Windows 11,DDR4,8,512,1,56989
157,HP,Windows 11,DDR4,16,512,1,81989
158,HP,Windows 10,DDR4,16,1000,1,79989
159,APPLE,Mac,Unified,8,512,1,139990
160,Lenovo,Windows 11,DDR4,16,512,1,62989
161,ASUS,Windows 11,DDR4,8,512,1,47990
162,DELL,Windows 11,DDR4,8,512,1,43667
163,ASUS,Windows 11,DDR5,16,512,1,98989
164,Infinix,Windows 11,DDR5,16,512,1,46989
165,ASUS,Windows 11,DDR4,8,256,1,35989
166,ASUS,Windows 11,DDR5,16,1000,1,109990
167,APPLE,Mac,Unified,8,512,1,139990
168,DELL,Windows 11,DDR4,8,512,1,74769
169,HP,Windows 11,DDR4,8,512,1,40798
170,ASUS,Windows 10,DDR4,16,512,1,69489
171,ASUS,Windows 11,DDR4,8,512,1,39990
172,ASUS,Windows 11,DDR5,16,512,1,99990
173,acer,Windows 11,DDR4,8,512,1,40990
174,HP,Windows 10,DDR4,8,512,1,60389
175,HP,Windows 10,DDR4,8,1000,1,69990
176,ASUS,Windows 11,DDR4,8,256,1,44990
177,ASUS,Windows 11,DDR4,8,256,1,44990
178,HP,Windows 11,DDR4,16,512,1,55989
179,Lenovo,Windows 11,DDR5,16,512,1,74989
180,APPLE,Mac,Unified,16,512,1,222990
181,acer,Windows 11,DDR4,8,512,1,62989
182,MSI,Windows 10,DDR4,8,512,1,58498
183,Lenovo,Windows 10,DDR4,8,1000,1,65990
184,DELL,Windows 11,DDR5,16,512,1,111990
185,Lenovo,Windows 11,DDR4,16,512,1,68490
186,acer,Windows 11,DDR4,8,512,1,54990
187,ASUS,Chrome,DDR5,4,32,0,14990
188,DELL,Windows 10,DDR4,8,512,1,63090
189,Lenovo,Windows 11,DDR4,8,256,1,37389
190,ASUS,Windows 11,DDR5,8,512,1,63990
191,DELL,Windows 10,others,8,512,1,43089
192,Lenovo,Windows 10,DDR4,4,256,1,44699
193,HP,Windows 10,DDR4,8,256,1,41150
194,ASUS,Windows 11,DDR4,8,256,1,33989
195,ASUS,Windows 11,DDR5,16,1000,1,174990
196,ASUS,Windows 11,DDR4,16,512,1,63979
197,acer,Windows 11,DDR4,8,512,1,54300
198,DELL,Windows 11,DDR4,8,256,1,36400
199,ASUS,Windows 10,DDR4,4,256,1,28589
200,DELL,Windows 11,DDR4,16,512,1,69999
201,ASUS,Windows 11,DDR5,32,1000,1,301990
202,Lenovo,Windows 11,DDR4,8,256,1,37000
203,Lenovo,Windows 10,DDR4,16,512,1,64990
204,DELL,Windows 11,DDR4,8,256,1,42689
205,Lenovo,Windows 10,DDR4,4,256,1,38989
206,HP,Windows 11,DDR5,16,512,1,128990
207,acer,Windows 11,DDR4,8,512,1,54999
208,acer,Windows 10,DDR4,8,1000,1,60130
209,acer,Windows 11,DDR4,8,256,1,29490
210,DELL,Windows 11,DDR4,8,512,1,72489
211,others,Windows 11,DDR4,16,512,1,73990
212,Lenovo,Windows 10,DDR4,8,512,1,55600
213,DELL,Windows 10,DDR4,8,512,1,49690
214,MSI,Windows 10,DDR4,16,512,1,73990
215,HP,Windows 10,DDR4,8,512,1,52489
216,HP,Windows 11,DDR4,8,512,1,41989
217,ASUS,Windows 11,DDR4,8,256,1,29990
218,others,Windows 10,DDR4,8,512,1,50490
219,acer,Windows 10,DDR4,16,1000,1,96489
220,MSI,Windows 10,DDR5,16,512,1,74989
221,ASUS,Windows 10,DDR4,8,512,1,51990
222,ASUS,Windows 10,DDR4,8,1000,1,71345
223,DELL,Windows 10,DDR4,8,256,1,41090
224,Lenovo,Windows 10,DDR4,8,256,1,50499
225,HP,Windows 11,DDR4,8,512,1,78950
226,Lenovo,Windows 11,DDR5,16,512,1,67989
227,ASUS,DOS,DDR4,4,256,1,35989
228,HP,Windows 10,DDR4,8,512,1,52574
229,DELL,Windows 11,DDR4,8,512,1,50989
230,Lenovo,Windows 10,DDR4,16,512,1,60125
231,Lenovo,Windows 10,DDR4,4,256,1,26490
232,HP,Windows 11,DDR4,8,512,1,80248
233,acer,Windows 10,DDR4,8,1000,1,129999
234,ASUS,Windows 11,DDR4,8,512,1,36990
235,MSI,Windows 10,DDR4,16,512,1,107790
236,DELL,Windows 11,DDR4,16,512,1,75989
237,ASUS,Windows 10,DDR5,16,512,1,95990
238,acer,Windows 11,DDR4,8,512,1,61998
239,HP,Windows 11,DDR4,8,256,1,28990
240,Lenovo,Windows 10,DDR4,8,512,1,54990
241,ASUS,Windows 11,DDR4,16,512,1,56989
242,ASUS,Windows 11,DDR4,8,256,1,45989
243,ASUS,Windows 11,DDR4,8,512,1,38216
